Date,gross_return,net_return,turnover,tcost
2014-07-18,0.014365295668422852,0.014365295668422852,0.0,0.0
2014-07-21,0.0016900293388363479,0.0016900293388363479,0.0,0.0
2014-07-22,0.01235269406103697,0.01235269406103697,0.0,0.0
2014-07-23,-0.0025833950518075995,-0.0025833950518075995,0.0,0.0
2014-07-24,-0.001927444595679367,-0.001927444595679367,0.0,0.0
2014-07-25,-0.009477554911142513,-0.009477554911142513,0.0,0.0
2014-07-28,-0.003011687919131079,-0.003011687919131079,0.0,0.0
2014-07-29,0.0027158728233592387,0.0027158728233592387,0.0,0.0
2014-07-30,0.006328709624437498,0.006328709624437498,0.0,0.0
2014-07-31,-0.019571031122964145,-0.019571031122964145,0.0,0.0
2014-08-01,-0.0037455955453568747,-0.0038341738911343297,0.08857834577745519,8.857834577745518e-05
2014-08-04,0.008723015350194166,0.008723015350194166,0.0,0.0
2014-08-05,0.003433401458042786,0.003433401458042786,0.0,0.0
2014-08-06,-0.0005085247741074951,-0.0005085247741074951,0.0,0.0
2014-08-07,-0.000707720596629261,-0.000707720596629261,0.0,0.0
2014-08-08,0.008772282552057599,0.008772282552057599,0.0,0.0
2014-08-11,0.006078076491962634,0.006078076491962634,0.0,0.0
2014-08-12,-0.005107901363892119,-0.005107901363892119,0.0,0.0
2014-08-13,0.009360581812955321,0.009360581812955321,0.0,0.0
2014-08-14,0.005739952788914026,0.005739952788914026,0.0,0.0
2014-08-15,0.001131477027187578,0.001131477027187578,0.0,0.0
2014-08-18,0.01608018629085201,0.01608018629085201,0.0,0.0
2014-08-19,0.009955113338173857,0.009955113338173857,0.0,0.0
2014-08-20,-0.0025288040660861565,-0.0025288040660861565,0.0,0.0
2014-08-21,0.003915230051334979,0.003915230051334979,0.0,0.0
2014-08-22,-0.0007031972676290014,-0.0007031972676290014,0.0,0.0
2014-08-25,0.004965525703095289,0.004965525703095289,0.0,0.0
2014-08-26,0.005936987519598375,0.005936987519598375,0.0,0.0
2014-08-27,-0.0033638018920715542,-0.0033638018920715542,0.0,0.0
2014-08-28,-0.008363467169446238,-0.008363467169446238,0.0,0.0
2014-08-29,0.0032496982754547745,0.0032496982754547745,0.0,0.0
2014-09-02,0.009824205600713782,0.009642716032853339,0.18148956786044207,0.00018148956786044206
2014-09-03,-0.005519034176650201,-0.005519034176650201,0.0,0.0
2014-09-04,-0.0014867568769299342,-0.0014867568769299342,0.0,0.0
2014-09-05,0.0033826077341032666,0.0033826077341032666,0.0,0.0
2014-09-08,0.00023635071197006447,0.00023635071197006447,0.0,0.0
2014-09-09,-0.013932263231684533,-0.013932263231684533,0.0,0.0
2014-09-10,0.006000727196405225,0.006000727196405225,0.0,0.0
2014-09-11,0.0034934880776604942,0.0034934880776604942,0.0,0.0
2014-09-12,-0.004229593974646234,-0.004229593974646234,0.0,0.0
2014-09-15,-0.005829056457177398,-0.005829056457177398,0.0,0.0
2014-09-16,0.004211739822391593,0.004211739822391593,0.0,0.0
2014-09-17,0.006983472082883938,0.006983472082883938,0.0,0.0
2014-09-18,0.008531634578658872,0.008531634578658872,0.0,0.0
2014-09-19,-0.008156648956909311,-0.008156648956909311,0.0,0.0
2014-09-22,-0.014718094887873222,-0.014718094887873222,0.0,0.0
2014-09-23,-0.007819223685455024,-0.007819223685455024,0.0,0.0
2014-09-24,0.006352165428834113,0.006352165428834113,0.0,0.0
2014-09-25,-0.01273330690279688,-0.01273330690279688,0.0,0.0
2014-09-26,0.005942944465592259,0.005942944465592259,0.0,0.0
2014-09-29,-0.002053488475824054,-0.002053488475824054,0.0,0.0
2014-09-30,-0.007365079299912293,-0.007365079299912293,0.0,0.0
2014-10-01,-0.01560987192723787,-0.015776951498774883,0.167079571537012,0.00016707957153701202
2014-10-02,0.007291764047381203,0.007291764047381203,0.0,0.0
2014-10-03,0.0058051140345896455,0.0058051140345896455,0.0,0.0
2014-10-06,-0.009551980344113578,-0.009551980344113578,0.0,0.0
2014-10-07,-0.018028488816875368,-0.018028488816875368,0.0,0.0
2014-10-08,0.01443518607709805,0.01443518607709805,0.0,0.0
2014-10-09,-0.01932813916026955,-0.01932813916026955,0.0,0.0
2014-10-10,-0.0251924534648935,-0.0251924534648935,0.0,0.0
2014-10-13,-0.013562070623811569,-0.013562070623811569,0.0,0.0
2014-10-14,0.010809229440428928,0.010809229440428928,0.0,0.0
2014-10-15,0.007597724477554954,0.007597724477554954,0.0,0.0
2014-10-16,0.012364536732291405,0.012364536732291405,0.0,0.0
2014-10-17,0.008980470742490034,0.008980470742490034,0.0,0.0
2014-10-20,0.013390439293255611,0.013390439293255611,0.0,0.0
2014-10-21,0.020683663427263854,0.020683663427263854,0.0,0.0
2014-10-22,-0.005598249692434035,-0.005598249692434035,0.0,0.0
2014-10-23,0.015402796528140732,0.015402796528140732,0.0,0.0
2014-10-24,0.004497461086650615,0.004497461086650615,0.0,0.0
2014-10-27,0.0006656830059718398,0.0006656830059718398,0.0,0.0
2014-10-28,0.019111813037150864,0.019111813037150864,0.0,0.0
2014-10-29,-0.0027887574585395486,-0.0027887574585395486,0.0,0.0
2014-10-30,0.006638610796292556,0.006638610796292556,0.0,0.0
2014-10-31,0.013810584073373829,0.013810584073373829,0.0,0.0
2014-11-03,0.0002447333690113307,9.074670612158907e-05,0.1539866628897416,0.0001539866628897416
2014-11-04,-0.004444308611108815,-0.004444308611108815,0.0,0.0
2014-11-05,0.0014165249337641651,0.0014165249337641651,0.0,0.0
2014-11-06,0.009198552183794558,0.009198552183794558,0.0,0.0
2014-11-07,0.003905706113086345,0.003905706113086345,0.0,0.0
2014-11-10,0.0028978981173215707,0.0028978981173215707,0.0,0.0
2014-11-11,0.004080390620337164,0.004080390620337164,0.0,0.0
2014-11-12,0.003986058735967798,0.003986058735967798,0.0,0.0
2014-11-13,-0.005645362007073895,-0.005645362007073895,0.0,0.0
2014-11-14,0.0026879016304336956,0.0026879016304336956,0.0,0.0
2014-11-17,-0.005127304630080333,-0.005127304630080333,0.0,0.0
2014-11-18,0.0063053039786543285,0.0063053039786543285,0.0,0.0
2014-11-19,-0.006067097216864547,-0.006067097216864547,0.0,0.0
2014-11-20,0.010970068734387748,0.010970068734387748,0.0,0.0
2014-11-21,0.0060924310224121005,0.0060924310224121005,0.0,0.0
2014-11-24,0.011697948107759712,0.011697948107759712,0.0,0.0
2014-11-25,-0.002407138113377472,-0.002407138113377472,0.0,0.0
2014-11-26,0.003721966915781926,0.003721966915781926,0.0,0.0
2014-11-28,-0.005598469012060419,-0.005598469012060419,0.0,0.0
2014-12-01,-0.009662341396256355,-0.009749493697183717,0.08715230092736101,8.715230092736101e-05
2014-12-02,0.012143570510157761,0.012143570510157761,0.0,0.0
2014-12-03,0.012215026128799204,0.012215026128799204,0.0,0.0
2014-12-04,-0.00021130126228817894,-0.00021130126228817894,0.0,0.0
2014-12-05,0.008687541433187803,0.008687541433187803,0.0,0.0
2014-12-08,-0.009728658613885494,-0.009728658613885494,0.0,0.0
2014-12-09,0.008127337490053899,0.008127337490053899,0.0,0.0
2014-12-10,-0.021360169671473382,-0.021360169671473382,0.0,0.0
2014-12-11,0.004598649982185818,0.004598649982185818,0.0,0.0
2014-12-12,-0.010651026304343754,-0.010651026304343754,0.0,0.0
2014-12-15,-0.00811569195151639,-0.00811569195151639,0.0,0.0
2014-12-16,-0.006750361115202974,-0.006750361115202974,0.0,0.0
2014-12-17,0.024160464079594015,0.024160464079594015,0.0,0.0
2014-12-18,0.01785734262367846,0.01785734262367846,0.0,0.0
2014-12-19,0.0026800796979645283,0.0026800796979645283,0.0,0.0
2014-12-22,0.009088668432684048,0.009088668432684048,0.0,0.0
